Title,Initial Sort,Author,Comments,Date,SEO,Readability,Current Redirect,Possibly Remove,To Redirect,"Visits Since June 24.2013 - April 06, 2017",URL,Post ID,Duplicate,last hit,notes
Educate,38,David Harris,—No comments,"Published
2013/11/15",Focus keyword not set.,Needs Improvement,(301) /resources/educators/,,,1,http://globallives.org/educate/,3246,,,moved perminantly
Empathy Kit,39,David Harris,—No comments,"Published
2013/11/20",Focus keyword not set.,Needs Improvement,(301) http://globallives.org/resources/educators/,,,0,http://globallives.org/empathykit/,3248,,,moved perminantly
Events,40,Ben,—No comments,"Published
2017/03/26",Focus keyword not set.,Needs Improvement,,,,2271,http://globallives.org/events/,2262,,,
Explore the Collection,41,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Not available,,,,"24,283",http://globallives.org/explore-2/,37,,,
Explore the Collection,42,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Not available,,√,,0,http://globallives.org/explore-2/,4735,,,
Global Lives Immersive Video Exhibit Opening,43,Michael Pierce,—No comments,"Published
2013/12/20",Focus keyword not set.,Not available,(302) http://globallives.org/event/jan9/,√,,4,http://globallives.org/jan9sf/,3444,,,temp redirect
Global Lives Immersive Video Exhibit Opening,44,Michael Pierce,—No comments,"Published
2013/12/20",Focus keyword not set.,Not available,(302) http://globallives.org/event/jan9/,√,,0,http://globallives.org/jan9sf/,3449,,,temp redirect
Global Lives Immersive Video Exhibit Opening,45,Danny Spitzberg,1 comment,"Published
2013/12/23",Focus keyword not set.,Not available,(302) http://globallives.org/event/jan9/,√,,0,http://globallives.org/jan9sfevent/,3530,,,temp redirect
Global Lives Project Video Sample,46,Dalila,—No comments,"Published
2014/08/14",Focus keyword not set.,Not available,,√,,28,http://globallives.org/2016nea-worksample/,4298,,,
Global Lives Project Work Sample,47,Dalila,—No comments,"Published
2014/08/12",Focus keyword not set.,Not available,,√,,16,http://globallives.org/work-sample/,4235,,,
Global Lives Survey,48,David Harris,—No comments,"Published
2016/04/12",Focus keyword not set.,Not available,,√,,43,http://globallives.org/diversitysurvey/,4963,,,
Global Wednesdays,49,Danny Spitzberg,11 comment,"Published
2014/01/14",Focus keyword not set.,Not available,,√,,174,http://globallives.org/globalwednesdays/,3615,,"July, 2014",
Impact Report: 2012-2013 — Draft,50,David Harris,—No comments,"Last Modified
2014/10/07",Focus keyword not set.,Not available,,√,,0,http://globallives.org/impact-report-2012-2013/,4410,,--,
Independent Shoots,51,David Harris,—No comments,"Published
2013/11/15",Focus keyword not set.,Not available,(301) http://globallives.org/participate/propose/,,,"5,024",http://globallives.org/independentshoots/,3244,,,moved perminantly
jan9testtickets,52,Danny Spitzberg,—No comments,"Published
2013/12/26",Focus keyword not set.,Not available,,√,,0,http://globallives.org/jan9testtickets/,3548,,"Jan, 2014",
jan9volunteer,53,Danny Spitzberg,—No comments,"Published
2013/12/25",Focus keyword not set.,Not available,(302) http://globallives.org/participate/volunteer/jan9volunteer/,,,5,http://globallives.org/jan9volunteer/ ,3546,,,temp redirect
Lives in Transit,54,David Harris,—No comments,"Published
2013/11/15",Focus keyword not set.,Not available,(301) http://globallives.org/participate/livesintransit/,,,638,http://globallives.org/livesintransit/,3240,,,moved perminantly
Lives in Transit [Sneak Preview],55,David Harris,—No comments,"Published
2015/03/16",Focus keyword not set.,Needs Improvement,,,,113,http://globallives.org/livesintransitsneak/,4630,,"Sept 14, 2016",
Lives in Transit Previews,56,Danny Spitzberg,1 comment,"Published
2014/01/16",Focus keyword not set.,Needs Improvement,,,,42,http://globallives.org/livesintransitpreviews/,3647,,"Feb 2, 2017",
Lives in Transit Traveling Exhibit Work Samples,57,fishglenn,—No comments,"Published
2017/02/28",Focus keyword not set.,Bad,,,,44,http://globallives.org/worksamples-nea-2017/,5290,,"March 1, 2017",
Lives in Transit Work Sample,58,Dalila,—No comments,"Published
2014/06/13",Focus keyword not set.,Needs Improvement,,,,18,http://globallives.org/macarthur/,4077,,"Oct 4, 2016",
Palo Alto High School Exhibit,59,David Harris,—No comments,"Published
2014/09/15",Focus keyword not set.,Good,,√,,65,http://globallives.org/paly/,4363,,"Mar 4, 2017",
Paly Teachers,60,David Harris,—No comments,"Published
2014/09/23",Focus keyword not set.,Needs Improvement,,√,,2,http://globallives.org/palyteachers/,4370,,"Sept 26, 2017",
Participate,61,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,6,http://globallives.org/participate/,41,,,a directory of pages
— Crew Member Inquiry Form,62,Lauren Valdez,1 comment,"Published
2013/02/25",Focus keyword not set.,Needs Improvement,,,,115,http://globallives.org/participate/crew/,2932,,,
— Educate,63,rosawu,—No comments,"Published
2013/02/06",Focus keyword not set.,Needs Improvement,,,,"29,581",http://globallives.org/participate/educate/,1072,,,
— — Classroom Curriculum,64,ajay,—No comments,"Published
2016/05/31",Focus keyword not set.,Needs Improvement,,,,742,http://globallives.org/participate/educate/classroom-curriculum/,4978,,,
— — Exhibits for Students,65,ajay,—No comments,"Published
2016/05/31",Focus keyword not set.,Needs Improvement,,,,226,http://globallives.org/participate/educate/exhibits-for-students/,4982,,,
— — Assemblies & Community Events,66,ajay,—No comments,"Published
2016/05/31",Focus keyword not set.,Needs Improvement,,,,122,http://globallives.org/participate/educate/assemblies-community-events/,4984,,,
— — Professional Development,67,sarah.s.davis@gmail.com,—No comments,"Published
2015/04/02",Focus keyword not set.,Needs Improvement,,,,204,http://globallives.org/participate/educate/professional-development/,4635,,,
— — Online Video Collection,68,ajay,—No comments,"Published
2016/05/31",Focus keyword not set.,Needs Improvement,,,,288,http://globallives.org/participate/educate/online-video-collection/,4987,,,
— Host A Museum Exhibit,69,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,10298,http://globallives.org/participate/host/,52,,,
— Volunteer,70,glp_admin,1 comment,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,5844,http://globallives.org/participate/volunteer/,42,,,
— — Volunteer for our Jan 9 video exhibit — Draft,71,Danny Spitzberg,—No comments,"Last Modified
2013/12/24",Focus keyword not set.,Needs Improvement,,√,,41,http://globallives.org/participate/volunteer/jan9volunteer/,3541,,"Feb 22, 2014",
— — Volunteer Form,72,rosawu,—No comments,"Published
2013/02/13",Focus keyword not set.,Needs Improvement,,√,,1300,http://globallives.org/participate/volunteer/volunteer-form/,1677,,,
— — Translate,73,ajay,—No comments,"Published
2016/05/31",Focus keyword not set.,Needs Improvement,,,,494,http://globallives.org/participate/volunteer/translate/,4993,Pages!81:81,,
— Propose a Shoot,74,Lauren Valdez,—No comments,"Published
2013/01/30",Focus keyword not set.,Needs Improvement,,,,5024,http://globallives.org/participate/propose/,291,,,
— — Upfront Considerations,75,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,178,http://globallives.org/participate/propose/considerations/,44,,,
— — Submit a Producer Inquiry,76,rosawu,—No comments,"Published
2013/02/05",Focus keyword not set.,OK,,,,249,http://globallives.org/participate/propose/inquiry/,824,,,
— — Produce and Translate Your Shoot,77,ajay,—No comments,"Published
2016/05/31",Focus keyword not set.,Needs Improvement,,,,29,http://globallives.org/participate/propose/produce-translate-shoot/,4996,,,
— — Write a Proposal,78,rosawu,—No comments,"Published
2013/02/05",Focus keyword not set.,Needs Improvement,,,,3435,http://globallives.org/participate/propose/proposal/,826,,,
— — Lives in Transit,79,ajay,—No comments,"Published
2016/05/31",Focus keyword not set.,Needs Improvement,,,,132,http://globallives.org/participate/propose/lives-in-transit/,4998,,,
— Translate — Draft,80,rosawu,—No comments,"Last Modified
2013/02/06",Focus keyword not set.,Needs Improvement,,√,,721,http://globallives.org/participate/translate/,1020,Pages!73:73,"June 22, 2016",
pdf download,81,Stacy Daniels,—No comments,"Published
2013/06/20",Focus keyword not set.,Needs Improvement,,√,,3,http://globallives.org/pdf-download/,3121,,"Sept 18, 2016",
Production Guide,82,David Harris,—No comments,"Published
2013/11/20",Focus keyword not set.,Needs Improvement,(301) http://globallives.org/resources/producers/overview/,√,,0,http://globallives.org/productionguide/,3252,,,moved perminantly
Profile,83,glp_admin,—No comments,"Published
2013/01/19",Focus keyword not set.,Needs Improvement,,,,3000+,http://globallives.org/profile/,1493,,,
Receive your educator toolkit!,84,Guilaine,—No comments,"Published
2014/11/24",Focus keyword not set.,Needs Improvement,,,,49,http://globallives.org/confirmaddress/,4473,,"Feb 22, 2016",
Receive your educator toolkit!,85,Guilaine,—No comments,"Published
2014/12/11",Focus keyword not set.,OK,,,,3,http://globallives.org/shipping-address-confirmation/,4537,,"Dec 15, 2014",
Recherche de cinéastes — Lives in Transit,86,Lauren Valdez,—No comments,"Published
2013/03/14",Focus keyword not set.,Needs Improvement,,√,,3,http://globallives.org/le-global-lives-project-glp-cherche-des-cineastes-dans-le-monde-entier-pour-contribuer-a-sa-nouvelle-serie-de-dix-films-de-24-heures-lives-in-transit-vies-en-transit/,2987,,6/22/2016,
Resources,87,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,7,http://globallives.org/resources/,54,,,
— Educate — Pending,88,David Harris,—No comments,"Last Modified
2013/11/25",Focus keyword not set.,Needs Improvement,(301) /resources/educators/,,,17740,http://globallives.org/resources/educate/,3256,,,"moved perminantly, remove pending status"
— For Educators,89,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,(302) http://globallives.org/wp-content/uploads/2014/09/Unheard-Stories-Global-Lives-Curriculum-2014-09-15.pdf,,,17719,http://globallives.org/resources/educators/,55,,,temp redirect
— — Unheard Stories Resources,90,David Harris,—No comments,"Published
2014/05/14",Focus keyword not set.,Needs Improvement,,,,571,http://globallives.org/resources/educators/unheardstories/,4033,,,
— — — Unheard Stories Survey — Draft,91,Dalila,—No comments,"Last Modified
2014/05/30",Focus keyword not set.,Needs Improvement,,√,,108,http://globallives.org/resources/educators/unheardstories/unheardstoriessurvey/,4063,,,
— For Producers,92,glp_admin,1 comment,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,3707,http://globallives.org/resources/producers/,61,,,
— — Production Overview — Draft,93,David Harris,—No comments,"Last Modified
2013/02/06",Focus keyword not set.,Needs Improvement,,,,197,http://globallives.org/resources/producers/overview/,918,,,remove draft status
— — Pre-Production — Draft,94,rosawu,—No comments,"Last Modified
2013/02/06",Focus keyword not set.,Needs Improvement,,√,,0,http://globallives.org/resources/producers/pre/,933,,,
— — Life Story Interview — Draft,95,rosawu,—No comments,"Last Modified
2013/02/06",Focus keyword not set.,Needs Improvement,,√,,0,http://globallives.org/resources/producers/lifestory/,921,,,
— — Day of Production — Draft,96,rosawu,—No comments,"Last Modified
2013/02/06",Focus keyword not set.,Good,,√,,0,http://globallives.org/resources/producers/dayof/,925,,,
— — Post-Production — Draft,97,rosawu,—No comments,"Last Modified
2013/02/06",Focus keyword not set.,Needs Improvement,,√,,20,http://globallives.org/resources/producers/post/,930,,,
— — — Editing the 24-Hour Video — Draft,98,rosawu,—No comments,"Last Modified
2013/02/06",Focus keyword not set.,Needs Improvement,,√,,0,http://globallives.org/resources/producers/post/24hour/,974,,,
— — — Editing the Short — Draft,99,rosawu,—No comments,"Last Modified
2013/02/06",Focus keyword not set.,Needs Improvement,,√,,0,http://globallives.org/resources/producers/post/short/,979,,,
— — — Delivering Your Media — Draft,100,rosawu,—No comments,"Last Modified
2013/02/06",Focus keyword not set.,Needs Improvement,,√,,0,http://globallives.org/resources/producers/post/media/,967,,,
— For Translators,101,rosawu,—No comments,"Published
2013/02/06",Focus keyword not set.,Needs Improvement,,,,628,http://globallives.org/resources/translators/,876,,,
— — Translation FAQ,102,ajay,—No comments,"Published
2016/05/31",Focus keyword not set.,OK,,,,178,http://globallives.org/resources/translators/translation-faq/,5027,Pages!106:106,"June 3, 2016",
— — Language Style Guide — Draft,103,rosawu,—No comments,"Last Modified
2013/02/08",Focus keyword not set.,Needs Improvement,,√,,0,http://globallives.org/resources/translators/guide/,1228,,,
— — Getting Started with dotSUB — Draft,104,rosawu,—No comments,"Last Modified
2013/02/08",Focus keyword not set.,Needs Improvement,,√,,153,http://globallives.org/resources/translators/dotsub/,1231,,"March 20, 2016",
— — Transation FAQ — Draft,105,rosawu,—No comments,"Last Modified
2013/02/08",Focus keyword not set.,Needs Improvement,,√,,178,http://globallives.org/resources/translators/faq/,1224,Pages!103:103,,
— For Exhibit Curators — Draft,106,rosawu,—No comments,"Last Modified
2013/02/06",Focus keyword not set.,Needs Improvement,(301) /participate/host/,√,,12,http://globallives.org/resources/curators/,882,,"Nov 23,2013",
Sponsor a Teacher,107,Danny Spitzberg,1 comment,"Published
2014/01/17",Focus keyword not set.,Needs Improvement,,,,11,http://globallives.org/sponsorateacher/,3675,,,make more popular
Test Page for Chris — Draft,108,Chris Converse,—No comments,"Last Modified
2016/06/10",Focus keyword not set.,Needs Improvement,,√,,0,http://globallives.org/test-page-chris/,5149,,,
Test razoo,109,David Harris,—No comments,"Published
2016/12/30",Focus keyword not set.,Needs Improvement,,√,,5,http://globallives.org/test-razoo/,5265,,,
Thank you for donating,110,Danny Spitzberg,—No comments,"Published
2013/12/14",Focus keyword not set.,OK,,,,11,http://globallives.org/thank-you-for-donating/,3386,,,
Thank You!,111,Guilaine,—No comments,"Published
2014/12/15",Focus keyword not set.,Good,,,,2,http://globallives.org/thankyoueducator/,4546,,,
The First Ten,112,David Harris,—No comments,"Published
2013/11/15",Focus keyword not set.,Needs Improvement,,,,4,http://globallives.org/firstten/,3241,,,
材料,113,JakobL,—No comments,"Published
2014/07/25",Focus keyword not set.,Not available,,,,,,,,,
— 制片人的材料,114,JakobL,—No comments,"Published
2014/07/10",Focus keyword not set.,Not available,,,,,,,,,
— — 制片概观,115,JakobL,—No comments,"Published
2014/07/25",Focus keyword not set.,Not available,,,,,,,,,
— 教育学家的材料,116,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Not available,(302) http://globallives.org/wp-content/uploads/2014/04/GlobalLives_UnheardStories_curriculum1.pdf,,,,,,,,temp redirect
组织的细节,117,JakobL,—No comments,"Published
2014/07/25",Focus keyword not set.,Not available,,,,,,,,,
— 概观,118,JakobL,—No comments,"Published
2014/07/25",Focus keyword not set.,Not available,,,,,,,,,
— 董事会,119,JakobL,—No comments,"Published
2014/07/25",Focus keyword not set.,Not available,,,,,,,,,
— 工作和实习机会,120,JakobL,—No comments,"Published
2014/08/30",Focus keyword not set.,Not available,,,,,,,,,
谢谢你！,121,JakobL,—No comments,"Published
2014/08/27",Focus keyword not set.,Not available,,,,,,,,,
当志愿者 — Draft,122,JakobL,—No comments,"Last Modified
2014/08/08",Focus keyword not set.,Not available,,,,,,,,,
Lives in Transit,123,rosawu,—No comments,"Published
2013/02/06",Focus keyword not set.,Needs Improvement,,√,,0,http://globallives.org/livesintransit-2/,1096,,,
— Call for Filmmakers: Lives in Transit series,124,Lauren Valdez,2 comments,"Published
2013/02/21",Focus keyword not set.,Needs Improvement,,√,,3,http://globallives.org/livesintransit-2/callforfilmmakers/,2746,,,
test,125,Lauren Valdez,—No comments,"Published
2013/06/20",Focus keyword not set.,Needs Improvement,,√,,0,http://globallives.org/test-2/,3108,,,
举办展览会,126,JakobL,—No comments,"Published
2014/07/25",Focus keyword not set.,Not available,,,,,,,,,
License,127,David Harris,—No comments,"Published
2013/02/15",Focus keyword not set.,Needs Improvement,,,,58,http://globallives.org/license/,2739,,,
— Global Lives Immersive Video Exhibit Opening | Parent Page: Events,128,David Harris,—No comments,"Published
2013/12/20",Focus keyword not set.,Good,,√,,0,http://globallives.org/events__trashed/jan9/,3403,,,
,,,,,,,,,,,,,,,
Key,,,,,,,,,,,,,,,
Good to Go,,6,,,,,,,,,,,,,
Delete,,55,,,,,,,,,,,,,
Review Content,,53,,,,,,,,,,,,,
Review Decision of Existence,,14,,,,,,,,,,,,,
,,128,,,,,,,,,,,,,
